ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,ยาสีฟันกลิสเทอร์ขนาดพก,นิวทริไลท์น้ำมันปลา,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์การ์ลิค(กระ,นิวทริไลท์กรีนทีโปรตีน,นิวทริไลท์พริมโรสพลั,ไฟโตพาวเดอร์อะเซโรล่า,แก้วเชคนิวทริไลท์,นิวทริไลท์โปรตีนเบอร์ร,น้ำยาล้างจานดิชดรอปส,โลชั่นถนอมผิวอัลลาโน,นิวทริไลท์ไฟโตเบลนด์
M2116552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M2117341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2117347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2119837,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
M2119967,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
M2120432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2122448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2122580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2125561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2129087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2129258,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M2130529,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
M2131341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2138694,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
M2139569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M2140869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M2149238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2149396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2150476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2151503,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M2151548,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M2157366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2158106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2159863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2160773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2160851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M2161983,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
M2164040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2168239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2171301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2171352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2171385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2171414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2173178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2173188,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M2174994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2181226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2181893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2185335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
