ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,นิวทริไลท์น้ำมันปลา,ผลิตภัณฑ์ทําความสะอาดLO,นิวทริไลท์การ์ลิค(กระ,น้ำยาล้างจานดิชดรอปส,ยาสีฟันกลิสเทอร์ขนาดพก,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์ออลแพลนท์,นิวทริไลท์กรีนทีโปรตีน,เครื่องดื่มXS:แครนเบอร,เครื่องดื่มXS:ทรอปิคอล,ไฟโตพาวเดอร์อะเซโรล่า,นิวทริไลท์ไฟโตเบลนด์
A1447477,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
A1448259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1448265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1448271,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
A1448532,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1448583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1448588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1448594,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A1448658,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A1449180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1449904,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
A1450404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1450768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1451039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1451390,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A1455585,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A1458738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1459093,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
A1459250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1459251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1461145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1461928,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
A1462539,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
A1463241,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
A1463751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1464173,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A1464801,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
A1465746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1467802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1468833,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
A1470453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1470631,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A1471632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
