ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,นิวทริไลท์น้ำมันปลา,ผลิตภัณฑ์ทําความสะอาดLO,นิวทริไลท์การ์ลิค(กระ,น้ำยาล้างจานดิชดรอปส,ยาสีฟันกลิสเทอร์ขนาดพก,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์ออลแพลนท์,นิวทริไลท์กรีนทีโปรตีน,เครื่องดื่มXS:แครนเบอร,เครื่องดื่มXS:ทรอปิคอล,ไฟโตพาวเดอร์อะเซโรล่า,นิวทริไลท์ไฟโตเบลนด์
A1472528,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
A1473910,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
A1473910,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A1474064,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
A1474101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1474406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1477202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A1477520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1479850,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A1482665,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
A1482678,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A1482874,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1483693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1486126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1486143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1486147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A1490987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1493827,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0
A1494239,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A1497551,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
